Modelo,Accuracy,Precision,Recall,F1-score
Random Forest,0.8666666666666667,0.8461538461538461,1.0,0.9166666666666666
Regresión Logística,0.8,0.7857142857142857,1.0,0.88
XGBoost,0.8,0.7857142857142857,1.0,0.88
SVM,0.8,0.7857142857142857,1.0,0.88
Árbol de Decisión,0.7333333333333333,0.8181818181818182,0.8181818181818182,0.8181818181818182
KNN,0.6666666666666666,0.7142857142857143,0.9090909090909091,0.8
